Creator Name,slug,Creator Channel,Link Primary,Platform Primary,Platform 2 Name,Platform 2 Link,Platform 3 Name,Platform 3 Link,Platform 4 Name,Platform 4 Link,Topic/Category,Geography,Groups,Geo City,Geo State,Geo Country,Geo Region
Anna Constantino,anna-constantino,Girl Eats World,https://www.tiktok.com/@grleatswrld,Video - TikTok,Newsletter - Substack,https://girleatsworld.substack.com,,,,,"Food, Local News, Day in a life","San Francisco, CA","Civic Life, Journalism Formats, Lifestyle & Personal Life",San Francisco,CA,US,West
Anna Pujol-Mazzini,anna-pujol-mazzini,Good Story,https://goodstory.kit.com/posts,Newsletter - Other,,,,,,,Media/Power,National - US,Culture & Media,,,US,National
Anne Helen Petersen,anne-helen-petersen,Culture Study,https://www.patreon.com/cw/CultureStudy,Newsletter - Other,Podcast,,,,,,Culture,Washington - US,Culture & Media,,Washington,United States,West
Annie Dance,annie-dance,Cops & Congress by Annie Dance,https://anniedance.substack.com,Newsletter - Substack,,,,,,,"Local News, Crime, Government Accountability",North Carolina - US,"Power & Politics, Civic Life",,NC,US,South
Annie Koshy,annie-koshy,Branding Ninja,https://substack.com/@brandingninja,Newsletter - Substack,,,,,,,"World, Politics, Business",Canada,"Power & Politics, Money & Work, General News",,,Canada,International
Anton Sorkin,anton-sorkin,Cross and Gavel ,https://crossandgavel.substack.com,Newsletter - Substack,,,,,,,"Faith/Religion, Law/Legal Issues",Virginia - US,"Power & Politics, Social Issues",,VA,US,South
Antonio Sánchez,antonio-snchez,NoticiasNW,https://noticiasnw.com,Website,,,,,,,Local News,"Portland, OR",Civic Life,Portland,OR,US,West
Anya Kamenetz,anya-kamenetz,The Golden Hour,https://thegoldenhour.substack.com,Newsletter - Substack,,,,,,,"Climate/Environment, Parenting, Mental Health","New York, NY","Science, Health & Environment, Lifestyle & Personal Life",New York,NY,US,Northeast
Ari Drennen,ari-drennen,Ari's Threads,https://aridrennen.substack.com,Newsletter - Substack,,,,,,,"LGBTQIA, Self Help","Washington, D.C.","Social Issues, Lifestyle & Personal Life",Washington,D.C.,,
Ari Shaprio,ari-shaprio,Ari Shapiro,https://arishapiro.substack.com,Newsletter - Substack,,,,,,,Media/Power,"Washington, D.C.",Culture & Media,Washington,D.C.,,
Ariella Steinhorn,ariella-steinhorn,Hard Reset Media,https://www.hardresetmedia.com,Newsletter - Substack,,,,,,,"Tech, Politics","New York, NY","Power & Politics, Money & Work",New York,NY,US,Northeast
Arielle Frodor,arielle-frodor,Mrs. Frazzled,https://www.tiktok.com/@mrs.frazzled,Video - TikTok,Video - Instagram,https://www.instagram.com/mrs.frazzled,,,,,"Education, Politics",National - US,"Power & Politics, Civic Life",,,US,National
Arvind Narayanan,arvind-narayanan,AI as Normal Technology,https://www.normaltech.ai,Newsletter - Substack,,,,,,,Tech,New Jersey - US,Money & Work,,NJ,US,Northeast
Ashlee Vance,ashlee-vance,Core Memory,https://www.corememory.com,Newsletter - Substack,Video - YouTube,,,,,,"Tech, Investigative",California - US,"Money & Work, Journalism Formats",,CA,US,West
Ashlyn ,ashlyn,(Ask Ashlyn),https://joinsubtext.com/c/askashlyn,Chat - SMS,,,,,,,General News,National - US,General News,,,US,National
Austin Berg,austin-berg,The Last Ward,https://www.thelastward.org,Newsletter - Substack,,,,,,,"Politics, Government Accountability, Local News","Chicago, IL","Power & Politics, Civic Life",Chicago,IL,US,Midwest
Austin Graff,austin-graff,Austin K Graff,https://www.instagram.com/austinkgraff,Video - Instagram,,,,,,,"Local News, Parenting, Restaurants, Travel","Washington, D.C.","Civic Life, Lifestyle & Personal Life",Washington,D.C.,,
Austin Hendrickson,austin-hendrickson,OVOU,https://www.instagram.com/trainingtall,Video - Instagram,,,,,,,Fitness,"Sacramento, CA",Lifestyle & Personal Life,Sacramento,CA,US,West
Austin Kocher,austin-kocher,Austin Kocher,https://austinkocher.substack.com,Newsletter - Substack,Social - Twitter / X,,,,,,"Immigration, Law/Legal Issues","New York, NY","Power & Politics, Social Issues",New York,NY,US,Northeast
