handle,name,status,followers_count,posts_count,indexed_at,error_reason,fetched_at
gregpalast.bsky.social,Greg Palast,ok,62065,917,2024-11-20T14:46:22.771Z,,2026-07-01T16:57:07.843962+00:00
gregoryfoster.bsky.social,Gregory Foster,ok,338,244,2025-05-28T13:52:21.141Z,,2026-07-01T16:57:08.245540+00:00
hamiltonnolan.bsky.social,Hamilton Nolan,ok,44514,1550,2025-06-19T17:16:57.233Z,,2026-07-01T16:57:08.643193+00:00
hankgreen.bsky.social,Hank Green,ok,846112,3174,2026-01-26T01:02:17.446Z,,2026-07-01T16:57:09.045410+00:00
hannaraskin.bsky.social,Hanna Raskin,ok,584,118,2026-02-26T14:28:05.951Z,,2026-07-01T16:57:09.452767+00:00
hannahritchie.bsky.social,Hannah Ritchie,ok,63930,281,2024-01-20T08:23:15.691Z,,2026-07-01T16:57:09.851798+00:00
hasanminhaj.com,Hasan Minhaj,ok,4204,17,2025-04-18T13:39:28.173Z,,2026-07-01T16:57:10.250848+00:00
hbottemiller.bsky.social,Helena Bottemiller Evich,ok,6542,44,2024-11-20T20:29:14.696Z,,2026-07-01T16:57:10.651428+00:00
hollykorbey.bsky.social,Holly Korbey,ok,3170,284,2024-11-11T23:35:57.702Z,,2026-07-01T16:57:11.052301+00:00
hopeking.bsky.social,Hope King,ok,525,8,2024-10-21T22:28:18.616Z,,2026-07-01T16:57:11.455856+00:00
hugotravers.bsky.social,Hugo Travers,ok,1369,3,2024-11-20T13:50:17.670Z,,2026-07-01T16:57:11.808820+00:00
strannikreb45.bsky.social,Igor Studenkov,ok,17,7,2026-03-26T17:20:40.960Z,,2026-07-01T16:57:12.257101+00:00
imarajones.bsky.social,Imara Jones,ok,13494,571,2025-01-30T15:05:03.244Z,,2026-07-01T16:57:12.655902+00:00
techemails.bsky.social,Internal Tech Emails,ok,8638,93,2024-01-20T05:48:44.168Z,,2026-07-01T16:57:13.057863+00:00
isabelleroughol.com,Isabelle Roughol,ok,1013,818,2026-03-11T16:32:51.754Z,,2026-07-01T16:57:13.478257+00:00
jackschneider.bsky.social,Jack Schneider,ok,3561,410,2024-10-02T01:44:07.310Z,,2026-07-01T16:57:13.850960+00:00
jaycodon.bsky.social,Jacob Donnelly,ok,266,33,2024-11-26T14:36:05.746Z,,2026-07-01T16:57:14.254409+00:00
jacobsimonsays.bsky.social,Jacob Simon,ok,1409,434,2025-02-04T14:47:18.645Z,,2026-07-01T16:57:14.652686+00:00
jaehakim.com,Jae-Ha Kim,ok,2584,1326,2026-04-03T19:44:36.045Z,,2026-07-01T16:57:14.998615+00:00
realjakebroe.bsky.social,Jake Broe,ok,47921,3303,2026-06-30T23:00:19.316Z,,2026-07-01T16:57:15.463020+00:00
jfallows.bsky.social,James Fallows,ok,141583,5536,2025-07-07T18:02:25.632Z,,2026-07-01T16:57:15.877194+00:00
jamiedupree.bsky.social,Jamie Dupree,ok,12841,1362,2026-01-15T18:58:43.824Z,,2026-07-01T16:57:16.222064+00:00
jamisonfoser.bsky.social,Jamison Foser,ok,39387,4438,2026-04-28T15:52:13.157Z,,2026-07-01T16:57:16.661445+00:00
jank0.bsky.social,Janko Roettgers,ok,3054,342,2024-01-20T05:54:15.029Z,,2026-07-01T16:57:17.070483+00:00
laserwars.net,Jared Keller,ok,3979,939,2026-07-01T16:41:37.931Z,,2026-07-01T16:57:17.462421+00:00
jysexton.bsky.social,Jared Yates Sexton,ok,95795,4793,2026-01-26T03:24:35.046Z,,2026-07-01T16:57:17.868256+00:00
jasoncrawford.org,Jason Crawford,ok,2334,167,2024-01-20T05:59:52.242Z,,2026-07-01T16:57:18.234798+00:00
jasondelrey.bsky.social,Jason Del Rey,ok,642,27,2026-02-12T16:01:52.047Z,,2026-07-01T16:57:18.670315+00:00
jathansadowski.com,Jathan Sadowski,ok,7912,576,2025-10-21T23:51:17.250Z,,2026-07-01T16:57:19.068027+00:00
jdshadel.com,JD Shadel,ok,539,1161,2025-08-20T00:50:21.196Z,,2026-07-01T16:57:19.463692+00:00
jeanguerre.bsky.social,Jean Guerrero,ok,1654,8,2026-02-09T19:41:52.345Z,,2026-07-01T16:57:19.868955+00:00
jeffasher.bsky.social,Jeff Asher,ok,5850,9491,2026-04-23T15:30:40.849Z,,2026-07-01T16:57:20.272819+00:00
